ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
174430.0,Gloomhaven,2017.0,1,4,120,14,42055,"8,79",1,"3,86",68323.0,"Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers","Strategy Games, Thematic Games"
224517.0,Brass: Birmingham,2018.0,2,4,120,14,19217,"8,66",3,"3,91",28785.0,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",Strategy Games
167791.0,Terraforming Mars,2016.0,1,5,120,12,64864,"8,43",4,"3,24",87099.0,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers",Strategy Games
233078.0,Twilight Imperium: Fourth Edition,2017.0,3,6,480,14,13468,"8,70",5,"4,22",16831.0,"Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games"
291457.0,Gloomhaven: Jaws of the Lion,2020.0,1,4,120,14,8392,"8,87",6,"3,55",21609.0,"Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games"
182028.0,Through the Ages: A New Story of Civilization,2015.0,2,4,120,14,23061,"8,43",7,"4,41",26985.0,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That",Strategy Games
220308.0,Gaia Project,2017.0,1,4,150,12,16352,"8,49",8,"4,35",20312.0,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
187645.0,Star Wars: Rebellion,2016.0,2,4,240,14,23081,"8,42",9,"3,71",34849.0,"Area Majority / Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers",Thematic Games
193738.0,Great Western Trail,2016.0,2,4,150,12,29457,"8,30",11,"3,71",35804.0,"Deck Bag and Pool Building, Hand Management, Ownership, Point to Point Movement, Rondel, Set Collection, Track Movement, Variable Set-up",Strategy Games
162886.0,Spirit Island,2017.0,1,4,120,13,25722,"8,35",13,"4,01",38254.0,"Action Retrieval, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",Strategy Games
84876.0,The Castles of Burgundy,2011.0,2,4,90,12,46507,"8,13",15,"3,00",63058.0,"Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers",Strategy Games
120677.0,Terra Mystica,2012.0,2,5,150,12,39284,"8,14",16,"3,96",42720.0,"End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
173346.0,7 Wonders Duel,2015.0,2,2,30,10,60302,"8,11",17,"2,23",94343.0,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War",Strategy Games
124361.0,Concordia,2013.0,2,5,100,13,28105,"8,12",18,"3,03",32014.0,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up",Strategy Games
266192.0,Wingspan,2019.0,1,5,70,10,43165,"8,11",20,"2,42",61775.0,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game","Family Games, Strategy Games"
205637.0,Arkham Horror: The Card Game,2016.0,1,2,120,14,28577,"8,17",22,"3,44",50883.0,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers","Customizable Games, Thematic Games"
183394.0,Viticulture Essential Edition,2015.0,1,6,90,13,29486,"8,08",23,"2,91",39747.0,"Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
164928.0,Orléans,2014.0,2,4,90,12,22244,"8,09",25,"3,05",27093.0,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive",Strategy Games
3076.0,Puerto Rico,2002.0,3,5,150,12,63128,"7,99",28,"3,28",73413.0,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",Strategy Games
175914.0,Food Chain Magnate,2015.0,2,5,240,14,13863,"8,14",29,"4,20",16413.0,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection",Strategy Games
102794.0,Caverna: The Cave Farmers,2013.0,1,7,210,12,28123,"8,02",30,"3,79",35475.0,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",Strategy Games
31260.0,Agricola,2007.0,1,5,150,12,63498,"7,94",31,"3,64",75679.0,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",Strategy Games
170216.0,Blood Rage,2015.0,2,4,90,14,33940,"8,00",32,"2,88",40664.0,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Strategy Games
205059.0,Mansions of Madness: Second Edition,2016.0,1,5,180,14,25116,"8,06",33,"2,69",39007.0,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
180263.0,The 7th Continent,2017.0,1,4,1000,14,16868,"8,15",34,"2,87",30488.0,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
221107.0,Pandemic Legacy: Season 2,2017.0,2,4,60,14,12100,"8,15",35,"3,25",24373.0,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games"
199792.0,Everdell,2018.0,1,4,80,13,19552,"8,08",36,"2,81",29225.0,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement","Family Games, Strategy Games"
55690.0,Kingdom Death: Monster,2015.0,1,4,180,17,7553,"8,66",38,"4,25",10047.0,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",Thematic Games
2651.0,Power Grid,2004.0,2,6,120,12,56214,"7,86",39,"3,27",66489.0,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",Strategy Games
126163.0,Tzolk'in: The Mayan Calendar,2012.0,2,4,90,13,30790,"7,90",40,"3,67",35520.0,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",Strategy Games
284083.0,The Crew: The Quest for Planet Nine,2019.0,2,5,20,10,15027,"8,02",41,"1,99",31356.0,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking","Family Games, Strategy Games"
209010.0,Mechs vs. Minions,2016.0,2,4,120,14,14056,"8,05",42,"2,41",20196.0,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers","Strategy Games, Thematic Games"
247763.0,Underwater Cities,2018.0,1,4,150,12,9979,"8,13",43,"3,58",13474.0,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",Strategy Games
164153.0,Star Wars: Imperial Assault,2014.0,1,5,120,14,20512,"8,02",44,"3,30",35018.0,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games
